device_id,sensor_type,value,time
eui-323932326d306512,air_temperature,21.0,2026-01-26 23:00:00
eui-323932326d306512,humidity,45,2026-01-26 23:00:00
eui-323932326d306512,soil_temperature,22.4,2026-01-26 23:00:00
eui-323932326d306512,soil_moisture,30,2026-01-26 23:00:00
eui-323932326d306512,light,440,2026-01-26 23:00:00

eui-323932326d306512,air_temperature,21.1,2026-01-26 23:10:00
eui-323932326d306512,humidity,44,2026-01-26 23:10:00
eui-323932326d306512,soil_temperature,22.5,2026-01-26 23:10:00
eui-323932326d306512,soil_moisture,29,2026-01-26 23:10:00
eui-323932326d306512,light,445,2026-01-26 23:10:00

eui-323932326d306512,air_temperature,21.2,2026-01-26 23:20:00
eui-323932326d306512,humidity,44,2026-01-26 23:20:00
eui-323932326d306512,soil_temperature,22.6,2026-01-26 23:20:00
eui-323932326d306512,soil_moisture,28,2026-01-26 23:20:00
eui-323932326d306512,light,450,2026-01-26 23:20:00

eui-323932326d306512,air_temperature,21.3,2026-01-26 23:30:00
eui-323932326d306512,humidity,43,2026-01-26 23:30:00
eui-323932326d306512,soil_temperature,22.6,2026-01-26 23:30:00
eui-323932326d306512,soil_moisture,28,2026-01-26 23:30:00
eui-323932326d306512,light,455,2026-01-26 23:30:00

eui-323932326d306512,air_temperature,21.4,2026-01-26 23:40:00
eui-323932326d306512,humidity,43,2026-01-26 23:40:00
eui-323932326d306512,soil_temperature,22.7,2026-01-26 23:40:00
eui-323932326d306512,soil_moisture,27,2026-01-26 23:40:00
eui-323932326d306512,light,460,2026-01-26 23:40:00

eui-323932326d306512,air_temperature,21.5,2026-01-26 23:50:00
eui-323932326d306512,humidity,42,2026-01-26 23:50:00
eui-323932326d306512,soil_temperature,22.8,2026-01-26 23:50:00
eui-323932326d306512,soil_moisture,26,2026-01-26 23:50:00
eui-323932326d306512,light,465,2026-01-26 23:50:00
